year,rape_rate,station
2009/2010,171,Kagiso
2010/2011,138,Kagiso
2011/2012,153,Kagiso
2012/2013,137,Kagiso
2013/2014,144,Kagiso
2014/2015,171,Kagiso
2015/2016,161,Kagiso
2016/2017,195,Kagiso
2017/2018,210,Kagiso
2018/2019,171.0,Kagiso
2009/2010,221,Jouberton
2010/2011,234,Jouberton
2011/2012,265,Jouberton
2012/2013,264,Jouberton
2013/2014,291,Jouberton
2014/2015,248,Jouberton
2015/2016,176,Jouberton
2016/2017,203,Jouberton
2017/2018,178,Jouberton
2018/2019,170.0,Jouberton
2009/2010,223,Moroka
2010/2011,207,Moroka
2011/2012,207,Moroka
2012/2013,158,Moroka
2013/2014,169,Moroka
2014/2015,164,Moroka
2015/2016,137,Moroka
2016/2017,168,Moroka
2017/2018,142,Moroka
2018/2019,168.0,Moroka
2009/2010,0,Diepsloot
2010/2011,37,Diepsloot
2011/2012,120,Diepsloot
2012/2013,109,Diepsloot
2013/2014,163,Diepsloot
2014/2015,115,Diepsloot
2015/2016,133,Diepsloot
2016/2017,154,Diepsloot
2017/2018,149,Diepsloot
2018/2019,162.0,Diepsloot
2009/2010,228,Seshego
2010/2011,199,Seshego
2011/2012,212,Seshego
2012/2013,222,Seshego
2013/2014,171,Seshego
2014/2015,174,Seshego
2015/2016,166,Seshego
2016/2017,144,Seshego
2017/2018,151,Seshego
2018/2019,159.0,Seshego
2009/2010,192,Bloemspruit
2010/2011,215,Bloemspruit
2011/2012,228,Bloemspruit
2012/2013,250,Bloemspruit
2013/2014,286,Bloemspruit
2014/2015,243,Bloemspruit
2015/2016,195,Bloemspruit
2016/2017,132,Bloemspruit
2017/2018,152,Bloemspruit
2018/2019,157.0,Bloemspruit
2009/2010,217,Tsakane
2010/2011,222,Tsakane
2011/2012,210,Tsakane
2012/2013,159,Tsakane
2013/2014,168,Tsakane
2014/2015,146,Tsakane
2015/2016,166,Tsakane
2016/2017,164,Tsakane
2017/2018,167,Tsakane
2018/2019,155.0,Tsakane
2009/2010,218,Harare
2010/2011,237,Harare
2011/2012,227,Harare
2012/2013,213,Harare
2013/2014,196,Harare
2014/2015,174,Harare
2015/2016,164,Harare
2016/2017,162,Harare
2017/2018,156,Harare
2018/2019,152.0,Harare
2009/2010,150,Calcutta
2010/2011,134,Calcutta
2011/2012,139,Calcutta
2012/2013,194,Calcutta
2013/2014,149,Calcutta
2014/2015,148,Calcutta
2015/2016,165,Calcutta
2016/2017,108,Calcutta
2017/2018,149,Calcutta
2018/2019,151.0,Calcutta
2009/2010,103,Ngqeleni
2010/2011,132,Ngqeleni
2011/2012,139,Ngqeleni
2012/2013,104,Ngqeleni
2013/2014,145,Ngqeleni
2014/2015,201,Ngqeleni
2015/2016,201,Ngqeleni
2016/2017,133,Ngqeleni
2017/2018,143,Ngqeleni
2018/2019,147.0,Ngqeleni
2009/2010,76,Boitekong
2010/2011,128,Boitekong
2011/2012,118,Boitekong
2012/2013,166,Boitekong
2013/2014,157,Boitekong
2014/2015,151,Boitekong
2015/2016,143,Boitekong
2016/2017,171,Boitekong
2017/2018,141,Boitekong
2018/2019,146.0,Boitekong
